---;---;
Won the Stone Badge on %s;Steinorden erhalten am %s;
Won the Knuckle Badge on %s;Knöchelorden erhalten am %s;
Won the Dynamo Badge on %s;Dynamo-Orden erhalten am %s;
Won the Heat Badge on %s;Hitzeorden erhalten am %s;
Won the Balance Badge on %s;Balanceorden erhalten am %s;
Won the Feather Badge on %s;Federorden erhalten am %s;
Won the Mind Badge on %s;Mentalrden erhalten am %s;
Won the Rain Badge on %s;Schauerorden erhalten am %s;
Entered the Hall of Fame on %s;Einzug in die Ruhmeshalle am %s;
Won the S. Knowledge Sym. on %s;S-Kenntnissym. erhalten am %s;
Won the G. Knowledge Sym. on %s;G-Kenntnissym. erhalten am %s;
Won the S. Guts Symbol on %s;S-Grobsymbol erhalten am %s;
Won the G. Guts Symbol on %s;G-Grobsymbol erhalten am %s;
Won the S. Tactics Symbol on %s;S-Taktiksymbol erhalten am %s;
Won the G. Tactics Symbol on %s;G-Taktiksymbol erhalten am %s;
Won the S. Luck Symbol on %s;S-Lossymbol erhalten am %s;
Won the G. Luck Symbol on %s;G-Lossymbol erhalten am %s;
Won the S. Spirits Symbol on %s;S-Seelensymbol erhalten am %s;
Won the G. Spirits Symbol on %s;G-Seelensymbol erhalten am %s;
Won the S. Brave Symbol on %s;S-Bravursymbol erhalten am %s;
Won the G. Brave Symbol on %s;G-Bravursymbol erhalten am %s;
Won the S. Ability Symbol on %s;S-Anlagesymbol erhalten am %s;
Won the G. Ability Symbol on %s;G-Anlagesymbol erhalten am %s;
Battle Frontier cleared on %s;Kampfzone bezwungen am %s;
